date,airport_way,albina,ankeny,arleta,astor,beaumont,bonny_slope,collins_view,columbia_ips,cottrell_school,fernwood,fremont,glencoe,grant_park,gresham,guilds_lake,harney_pump,hayden_island,holgate,kelly_school,madison,mallory,maplewood,marine_drive,metro_center,mt_tabor,multnomah,museum,opb,open_meadows,park_se_yard,pcc_cascade,pcc_sylvania,pdx_e_busipark,pleasant_valley,post_office,rover,sauvies_island,shipyard,simmons,skyline_firesta,skyline_school,sunnyside,swan_island,swan_island_pump,sylvan,terminal4ne,thomas,twelfth_and_clay,vermont_hills,vernon,walmart_ecoroof,wpcl,yeon
1998 6 3,,,,,,,,0.0,,0.0,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,,,,
1998 6 4,,,,,,,,0.025400000000000002,,0.1778,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,0.3302,,0.025400000000000002,,,,,,,,,,,,,,,0.025400000000000002,,,,
1998 6 5,,,,,,,,0.0,,0.0,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,,,,
1998 6 6,,,,,,,,0.0,,0.0,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,,,,
1998 6 7,,,,,,,,0.0,,0.0,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,0.0,,0.025400000000000002,,,,,,,,,,,,,,,0.0,,,,
1998 6 8,,,,,,,,0.0,,0.0,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,,,,
1998 6 9,,,,,,,,0.1524,,0.20320000000000002,,,,,0.127,,0.127,,,0.127,,,,,,,,,,,,,0.127,,0.1778,,,,,,,,,,,,,,,0.20320000000000002,,,,
1998 6 10,,,,,,,,1.143,,2.2352,,,,,1.8288,,1.3208,,,2.54,,,,,,,,,,,,,1.4478000000000002,,1.8288,,,,,,,,,,,,,,,1.3970000000000002,,,,
1998 6 11,,,,,,,,0.0,,0.0,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,,,,
1998 6 12,,,,,,,,0.0,,0.0,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,,,,
1998 6 13,,,,,,,,0.0,,0.0,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,,,,
1998 6 14,,,,,,,,0.0,,0.0,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,,,,
1998 6 15,,,,,,,,0.0762,,0.3556,,,,,0.0762,,0.025400000000000002,,,0.0,,,,,,,,,,,,,0.0,,0.10160000000000001,,,,,,,,,,,,,,,0.025400000000000002,,,,
1998 6 16,,,,,,,,0.050800000000000005,,0.127,,,,,0.0762,,0.025400000000000002,,,0.0,,,,,,,,,,,,,0.0,,0.050800000000000005,,,,,,,,,,,,,,,0.025400000000000002,,,,
1998 6 17,,,,,,,,0.0,,0.0,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,,,,
1998 6 18,,,,,,,,0.6096,,0.5334,,,,,0.381,,0.3302,,,0.025400000000000002,,,,,,,,,,,,,0.050800000000000005,,0.48260000000000003,,,,,,,,,,,,,,,0.48260000000000003,,,,
1998 6 19,,,,,,,,0.0,,0.0,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,,,,
1998 6 20,,,,,,,,0.0,,0.0,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,,,,
1998 6 21,,,,,,,,0.0,,0.0,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,,,,
